threshold,precision,recall,f1
0.01,0.5333333333333333,1.0,0.6956521739130435
0.02,0.5333333333333333,1.0,0.6956521739130435
0.03,0.5333333333333333,1.0,0.6956521739130435
0.04,0.5333333333333333,1.0,0.6956521739130435
0.05,0.5333333333333333,1.0,0.6956521739130435
0.060000000000000005,0.5333333333333333,1.0,0.6956521739130435
0.06999999999999999,0.5333333333333333,1.0,0.6956521739130435
0.08,0.5333333333333333,1.0,0.6956521739130435
0.09,0.5333333333333333,1.0,0.6956521739130435
0.09999999999999999,0.5333333333333333,1.0,0.6956521739130435
0.11,0.5333333333333333,1.0,0.6956521739130435
0.12,0.5333333333333333,1.0,0.6956521739130435
0.13,0.5333333333333333,1.0,0.6956521739130435
0.14,0.5333333333333333,1.0,0.6956521739130435
0.15000000000000002,0.5333333333333333,1.0,0.6956521739130435
0.16,0.5333333333333333,1.0,0.6956521739130435
0.17,0.5333333333333333,1.0,0.6956521739130435
0.18000000000000002,0.5333333333333333,1.0,0.6956521739130435
0.19,0.5333333333333333,1.0,0.6956521739130435
0.2,0.5333333333333333,1.0,0.6956521739130435
0.21000000000000002,0.5333333333333333,1.0,0.6956521739130435
0.22,0.5333333333333333,1.0,0.6956521739130435
0.23,0.5333333333333333,1.0,0.6956521739130435
0.24000000000000002,0.5333333333333333,1.0,0.6956521739130435
0.25,0.5333333333333333,1.0,0.6956521739130435
0.26,0.5333333333333333,1.0,0.6956521739130435
0.27,0.5333333333333333,1.0,0.6956521739130435
0.28,0.5333333333333333,1.0,0.6956521739130435
0.29000000000000004,0.5333333333333333,1.0,0.6956521739130435
0.3,0.5333333333333333,1.0,0.6956521739130435
0.31,0.5333333333333333,1.0,0.6956521739130435
0.32,0.5333333333333333,1.0,0.6956521739130435
0.33,0.5333333333333333,1.0,0.6956521739130435
0.34,0.5333333333333333,1.0,0.6956521739130435
0.35000000000000003,0.5333333333333333,1.0,0.6956521739130435
0.36000000000000004,0.5333333333333333,1.0,0.6956521739130435
0.37,0.5333333333333333,1.0,0.6956521739130435
0.38,0.5333333333333333,1.0,0.6956521739130435
0.39,0.5333333333333333,1.0,0.6956521739130435
0.4,0.5333333333333333,1.0,0.6956521739130435
0.41000000000000003,0.5378151260504201,1.0,0.6994535519125683
0.42000000000000004,0.5378151260504201,1.0,0.6994535519125683
0.43,0.5378151260504201,1.0,0.6994535519125683
0.44,0.5378151260504201,1.0,0.6994535519125683
0.45,0.5338983050847458,0.984375,0.6923076923076923
0.46,0.5384615384615384,0.984375,0.6961325966850829
0.47000000000000003,0.5384615384615384,0.984375,0.6961325966850829
0.48000000000000004,0.5431034482758621,0.984375,0.7
0.49,0.5478260869565217,0.984375,0.7039106145251397
0.5,0.5526315789473685,0.984375,0.7078651685393258
0.51,0.5446428571428571,0.953125,0.6931818181818182
0.52,0.5495495495495496,0.953125,0.6971428571428572
0.53,0.5769230769230769,0.9375,0.7142857142857143
0.54,0.5974025974025974,0.71875,0.6524822695035462
0.55,0.6551724137931034,0.296875,0.40860215053763443
0.56,1.0,0.015625,0.03076923076923077
0.5700000000000001,1.0,0.015625,0.03076923076923077
0.5800000000000001,0.0,0.0,0.0
0.59,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.61,0.0,0.0,0.0
0.62,0.0,0.0,0.0
0.63,0.0,0.0,0.0
0.64,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.66,0.0,0.0,0.0
0.67,0.0,0.0,0.0
0.68,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0
0.7100000000000001,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.73,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.77,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.79,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0
0.8400000000000001,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.9600000000000001,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
