threshold,precision,recall,f1
0.01,0.7666666666666667,1.0,0.8679245283018868
0.02,0.7666666666666667,1.0,0.8679245283018868
0.03,0.7666666666666667,1.0,0.8679245283018868
0.04,0.7666666666666667,1.0,0.8679245283018868
0.05,0.7666666666666667,1.0,0.8679245283018868
0.060000000000000005,0.7666666666666667,1.0,0.8679245283018868
0.06999999999999999,0.7666666666666667,1.0,0.8679245283018868
0.08,0.7666666666666667,1.0,0.8679245283018868
0.09,0.7666666666666667,1.0,0.8679245283018868
0.09999999999999999,0.7666666666666667,1.0,0.8679245283018868
0.11,0.7666666666666667,1.0,0.8679245283018868
0.12,0.7666666666666667,1.0,0.8679245283018868
0.13,0.7666666666666667,1.0,0.8679245283018868
0.14,0.7666666666666667,1.0,0.8679245283018868
0.15000000000000002,0.7666666666666667,1.0,0.8679245283018868
0.16,0.7666666666666667,1.0,0.8679245283018868
0.17,0.7666666666666667,1.0,0.8679245283018868
0.18000000000000002,0.7666666666666667,1.0,0.8679245283018868
0.19,0.7666666666666667,1.0,0.8679245283018868
0.2,0.7666666666666667,1.0,0.8679245283018868
0.21000000000000002,0.7666666666666667,1.0,0.8679245283018868
0.22,0.7666666666666667,1.0,0.8679245283018868
0.23,0.7666666666666667,1.0,0.8679245283018868
0.24000000000000002,0.7666666666666667,1.0,0.8679245283018868
0.25,0.7666666666666667,1.0,0.8679245283018868
0.26,0.7666666666666667,1.0,0.8679245283018868
0.27,0.7666666666666667,1.0,0.8679245283018868
0.28,0.7666666666666667,1.0,0.8679245283018868
0.29000000000000004,0.7666666666666667,1.0,0.8679245283018868
0.3,0.7666666666666667,1.0,0.8679245283018868
0.31,0.7666666666666667,1.0,0.8679245283018868
0.32,0.7666666666666667,1.0,0.8679245283018868
0.33,0.7666666666666667,1.0,0.8679245283018868
0.34,0.7666666666666667,1.0,0.8679245283018868
0.35000000000000003,0.7666666666666667,1.0,0.8679245283018868
0.36000000000000004,0.7666666666666667,1.0,0.8679245283018868
0.37,0.7666666666666667,1.0,0.8679245283018868
0.38,0.7666666666666667,1.0,0.8679245283018868
0.39,0.7666666666666667,1.0,0.8679245283018868
0.4,0.7666666666666667,1.0,0.8679245283018868
0.41000000000000003,0.7666666666666667,1.0,0.8679245283018868
0.42000000000000004,0.7666666666666667,1.0,0.8679245283018868
0.43,0.7666666666666667,1.0,0.8679245283018868
0.44,0.7666666666666667,1.0,0.8679245283018868
0.45,0.7666666666666667,1.0,0.8679245283018868
0.46,0.7666666666666667,1.0,0.8679245283018868
0.47000000000000003,0.7666666666666667,1.0,0.8679245283018868
0.48000000000000004,0.7666666666666667,1.0,0.8679245283018868
0.49,0.7666666666666667,1.0,0.8679245283018868
0.5,0.7666666666666667,1.0,0.8679245283018868
0.51,0.7666666666666667,1.0,0.8679245283018868
0.52,0.7627118644067796,0.9782608695652174,0.8571428571428571
0.53,0.7878787878787878,0.8478260869565217,0.8167539267015707
0.54,0.8082191780821918,0.6413043478260869,0.7151515151515152
0.55,0.9743589743589743,0.41304347826086957,0.5801526717557252
0.56,1.0,0.21739130434782608,0.35714285714285715
0.5700000000000001,1.0,0.05434782608695652,0.10309278350515463
0.5800000000000001,1.0,0.03260869565217391,0.06315789473684211
0.59,1.0,0.010869565217391304,0.021505376344086023
0.6,0.0,0.0,0.0
0.61,0.0,0.0,0.0
0.62,0.0,0.0,0.0
0.63,0.0,0.0,0.0
0.64,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.66,0.0,0.0,0.0
0.67,0.0,0.0,0.0
0.68,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0
0.7100000000000001,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.73,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.77,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.79,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0
0.8400000000000001,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.9600000000000001,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
