loss,pr_auc,precision,recall,Brier Score,F1,id
0.04099293798208237,0.9957482814788818,0.9629629850387573,0.9285714030265808,0.03443612530827522,[0.46666667],1
0.08471149951219559,0.9746251106262207,0.9285714030265808,0.7647058963775635,0.07445548474788666,[0.40476188],2
0.1779230535030365,0.9621977210044861,1.0,0.42424243688583374,0.09868493676185608,[0.58928573],3
0.11137405037879944,0.982638955116272,0.7446808218955994,0.9722222089767456,0.0729731023311615,[0.40677968],4
0.07033848017454147,0.9843597412109375,0.800000011920929,0.9411764740943909,0.05304891988635063,[0.43367347],5
0.09265285730361938,0.9380164742469788,0.8999999761581421,0.5454545617103577,0.0998389944434166,[0.404908],6
0.11615617573261261,0.9563527703285217,0.731249988079071,0.9069767594337463,0.08273249864578247,[0.41680127],7
0.09260007739067078,0.9791666865348816,1.0,0.6875,0.062192101031541824,[0.42666665],8
0.08874469995498657,0.9806094169616699,0.7849462628364563,0.9605262875556946,0.05882883071899414,[0.4405797],9
0.0791197270154953,0.9610167145729065,0.948051929473877,0.7300000190734863,0.06655439734458923,[0.41753653],10
