loss,pr_auc,precision,recall,Brier Score,id
0.04790052771568298,0.9888924360275269,0.9807692170143127,0.9107142686843872,0.028264120221138,1
0.2746897041797638,0.9630910754203796,1.0,0.4117647111415863,0.10975203663110733,2
0.2645649313926697,0.9427608847618103,1.0,0.3333333432674408,0.12208149582147598,3
0.06433789432048798,0.9885545372962952,0.8333333134651184,0.9722222089767456,0.0541522353887558,4
0.05286821350455284,0.9893887042999268,0.9729729890823364,0.8470588326454163,0.05421362444758415,5
0.12469746917486191,0.9727579355239868,0.8333333134651184,0.9090909361839294,0.0581381730735302,6
0.09872275590896606,0.9263565540313721,0.8924731016159058,0.643410861492157,0.09406159073114395,7
0.07056976109743118,0.9739583730697632,0.875,0.875,0.0780477225780487,8
0.0957842767238617,0.9782721996307373,0.7708333134651184,0.9736841917037964,0.05697866529226303,9
0.05356558784842491,0.9892666339874268,0.9263157844543457,0.8799999952316284,0.04131010174751282,10
