loss,pr_auc,precision,recall,Brier Score,id
0.05600316449999809,0.996279776096344,1.0,0.8035714030265808,0.053757112473249435,1
0.060360103845596313,0.9907727837562561,0.9285714030265808,0.7647058963775635,0.044282373040914536,2
0.05640677362680435,0.9791857600212097,0.8888888955116272,0.9696969985961914,0.056780584156513214,3
0.06289707124233246,0.9813528656959534,0.8571428656578064,0.8333333134651184,0.06476982682943344,4
0.1123686283826828,0.984936535358429,0.6803278923034668,0.9764705896377563,0.09475073218345642,5
0.1202058345079422,0.9741352796554565,0.7045454382896423,0.939393937587738,0.0891599953174591,6
0.0708499401807785,0.9732287526130676,0.9714285731315613,0.7906976938247681,0.06267979741096497,7
0.4938836693763733,0.8990885019302368,0.875,0.4375,0.13080331683158875,8
0.08967449516057968,0.9760502576828003,0.9104477763175964,0.8026315569877625,0.06244366243481636,9
0.3128141164779663,0.9279333353042603,1.0,0.25,0.1387932002544403,10
