loss,pr_auc,precision,recall,Brier Score,F1,id
0.058769430965185165,0.93138587474823,0.8965517282485962,0.9285714030265808,0.046782273799180984,[0.4242424],1
0.06731775403022766,0.944585382938385,0.7894737124443054,0.8823529481887817,0.07250338047742844,[0.41975307],2
0.15015257894992828,0.9188411831855774,0.5322580933570862,1.0,0.13103604316711426,[0.4],3
0.11241143196821213,0.8980588316917419,0.9411764740943909,0.4444444477558136,0.09205850958824158,[0.41379312],4
0.17424246668815613,0.907874584197998,0.7068965435028076,0.9647058844566345,0.0930924043059349,[0.42394015],5
0.10699177533388138,0.9298346042633057,0.6153846383094788,0.9696969985961914,0.11381034553050995,[0.404908],6
0.11600503325462341,0.9598453044891357,0.6684210300445557,0.9844961166381836,0.08497743308544159,[0.42928454],7
0.10825614631175995,0.9108642339706421,0.699999988079071,0.875,0.08428628742694855,[0.42105266],8
0.1711985468864441,0.8699455261230469,0.9298245906829834,0.6973684430122375,0.07171493023633957,[0.6386555],9
0.13307639956474304,0.8896744251251221,1.0,0.38999998569488525,0.10187956690788269,[0.42826554],10
