loss,pr_auc,precision,recall,Brier Score,F1,id
0.10541289299726486,0.8909483551979065,0.7536231875419617,0.9285714030265808,0.09171818941831589,[0.4014337],1
0.14926554262638092,0.9123141169548035,1.0,0.23529411852359772,0.10573607683181763,[0.45945942],2
0.08178795129060745,0.9686479568481445,0.8205128312110901,0.9696969985961914,0.052984852343797684,[0.50769234],3
0.07334043830633163,0.9732012152671814,1.0,0.8888888955116272,0.035086117684841156,[0.44303793],4
0.15570838749408722,0.9552748203277588,1.0,0.4588235318660736,0.09311489015817642,[0.4843305],5
0.17283470928668976,0.797228991985321,0.8999999761581421,0.27272728085517883,0.11740870773792267,[0.4099379],6
0.0683661475777626,0.9652812480926514,0.8461538553237915,0.9379844665527344,0.047676876187324524,[0.439108],7
0.07964910566806793,0.9355697631835938,0.9285714030265808,0.8125,0.0634603500366211,[0.4],8
0.07453486323356628,0.9108406901359558,0.8214285969734192,0.9078947305679321,0.0713849663734436,[0.40641713],9
0.048215750604867935,0.9799554347991943,0.9142857193946838,0.9599999785423279,0.03673136606812477,[0.41407865],10
