loss,pr_auc,precision,recall,id
0.1451333612203598,0.4248233437538147,0.0,0.0,1
0.14524203538894653,0.22652208805084229,0.0,0.0,2
0.0949907973408699,0.5579462051391602,0.6190476417541504,0.7878788113594055,3
0.14664903283119202,0.34687212109565735,0.0,0.0,4
0.10146229714155197,0.7122329473495483,0.8181818127632141,0.3176470696926117,5
0.1305454969406128,0.4453447461128235,0.4000000059604645,0.06060606241226196,6
0.11844707280397415,0.46700161695480347,0.4117647111415863,0.05426356568932533,7
0.12147083878517151,0.5446303486824036,0.625,0.3125,8
0.11347261071205139,0.5728535652160645,0.529411792755127,0.5921052694320679,9
0.08397927135229111,0.7390784025192261,0.7473683953285217,0.7099999785423279,10
