site,audio_id,class,threshold,support,tp,fp,fn,tn,precision,recall,f1,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
GLOBAL,-1,target,0.5,179,178,2105,1,116,0.07796758650897942,0.994413407821229,0.1445978878960195,0.1225,,,,,,
GLOBAL,-1,other,0.5,2221,116,1,2105,178,0.9914529914529915,0.05222872579918955,0.0992301112061591,0.1225,,,,,,
GLOBAL,-1,global,0.5,2400,294,2106,2106,294,,,,0.1225,0.5347102889809855,0.5233210668102093,0.1219139995510893,0.07796758650897942,0.994413407821229,0.1445978878960195
