site,audio_id,class,threshold,support,tp,fp,fn,tn,precision,recall,f1,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
SSW,7843,target,0.01,0,0,120,0,0,0.0,0.0,0.0,0.0,,,,,,
SSW,7843,other,0.01,120,0,0,120,0,0.0,0.0,0.0,0.0,,,,,,
SSW,7843,global,0.01,120,0,120,120,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
