site,audio_id,class,threshold,support,tp,fp,fn,tn,precision,recall,f1,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
COR,18003,target,0.01,92,92,28,0,0,0.7666666666666667,1.0,0.8679245283018869,0.7666666666666667,,,,,,
COR,18003,other,0.01,28,0,0,28,92,0.0,0.0,0.0,0.7666666666666667,,,,,,
COR,18003,global,0.01,120,92,28,28,92,,,,0.7666666666666667,0.38333333333333336,0.5,0.43396226415094347,0.7666666666666667,1.0,0.8679245283018868
