site,audio_id,class,threshold,support,tp,fp,fn,tn,precision,recall,f1,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
COR,21767,target,0.01,64,64,56,0,0,0.5333333333333333,1.0,0.6956521739130436,0.5333333333333333,,,,,,
COR,21767,other,0.01,56,0,0,56,64,0.0,0.0,0.0,0.5333333333333333,,,,,,
COR,21767,global,0.01,120,64,56,56,64,,,,0.5333333333333333,0.26666666666666666,0.5,0.3478260869565218,0.5333333333333333,1.0,0.6956521739130435
