site,audio_id,class,threshold,support,tp,fp,fn,tn,precision,recall,f1,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
GLOBAL,-1,target,0.01,179,179,2221,0,0,0.07458333333333333,1.0,0.13881349360217138,0.07458333333333333,,,,,,
GLOBAL,-1,other,0.01,2221,0,0,2221,179,0.0,0.0,0.0,0.07458333333333333,,,,,,
GLOBAL,-1,global,0.01,2400,179,2221,2221,179,,,,0.07458333333333333,0.03729166666666667,0.5,0.06940674680108569,0.07458333333333333,1.0,0.13881349360217138
