site,audio_id,class,threshold,support,tp,fp,fn,tn,precision,recall,f1,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
COR,26746,target,0.17,23,18,69,5,28,0.20689655172413793,0.782608695652174,0.3272727272727273,0.38333333333333336,,,,,,
COR,26746,other,0.17,97,28,5,69,18,0.8484848484848485,0.28865979381443296,0.43076923076923074,0.38333333333333336,,,,,,
COR,26746,global,0.17,120,46,74,74,46,,,,0.38333333333333336,0.5276907001044933,0.5356342447333035,0.37902097902097903,0.20689655172413793,0.782608695652174,0.32727272727272727
