loss,pr_auc,precision,recall,Brier Score,id
0.07719701528549194,0.9735331535339355,0.8823529481887817,0.8035714030265808,0.06456699967384338,1
0.16526956856250763,0.9544405937194824,1.0,0.05882352963089943,0.12257742881774902,2
0.1446814388036728,0.9488826990127563,0.7021276354789734,1.0,0.10685204714536667,3
0.18195492029190063,0.9375,1.0,0.0833333358168602,0.13387037813663483,4
0.09868273138999939,0.9756633043289185,0.7477477192878723,0.9764705896377563,0.09610790759325027,5
0.6083107590675354,0.6205999255180359,0.0,0.0,0.21259862184524536,6
0.1337662637233734,0.9167016744613647,0.6353591084480286,0.8914728760719299,0.14191046357154846,7
0.09671342372894287,0.9505208730697632,0.7222222089767456,0.8125,0.09471819549798965,8
0.3139697015285492,0.8960064649581909,0.0,0.0,0.1694454550743103,9
0.07680269330739975,0.973633348941803,0.9042553305625916,0.8500000238418579,0.07775876671075821,10
