loss,pr_auc,precision,recall,Brier Score,id
0.05313742905855179,0.9980336427688599,0.800000011920929,1.0,0.04697203263640404,1
0.15857739746570587,0.9619377255439758,1.0,0.4117647111415863,0.09944257885217667,2
0.37033185362815857,0.9237833023071289,0.4399999976158142,1.0,0.21979257464408875,3
0.10605371743440628,0.9809670448303223,0.686274528503418,0.9722222089767456,0.09015688300132751,4
0.07853363454341888,0.9745098352432251,0.7731958627700806,0.8823529481887817,0.07761777192354202,5
0.5089319944381714,0.9482706785202026,0.8666666746139526,0.39393940567970276,0.1383448839187622,6
0.07518188655376434,0.979718804359436,0.7806451320648193,0.9379844665527344,0.07316973060369492,7
0.1422109454870224,0.9479166269302368,0.699999988079071,0.875,0.09634922444820404,8
0.06334482133388519,0.9832929372787476,0.9066666960716248,0.8947368264198303,0.045379918068647385,9
0.07097151130437851,0.9705833196640015,0.9620253443717957,0.7599999904632568,0.0687965601682663,10
