loss,pr_auc,precision,recall,Brier Score,id
0.043436091393232346,0.9961735010147095,1.0,0.9107142686843872,0.03236836940050125,1
0.07155074924230576,0.9780853986740112,1.0,0.7647058963775635,0.05832470953464508,2
0.04892178624868393,0.9932659864425659,0.8918918967247009,1.0,0.05143029987812042,3
0.07312621176242828,0.9891975522041321,0.8717948794364929,0.9444444179534912,0.0601358488202095,4
0.050060007721185684,0.9902653098106384,0.898876428604126,0.9411764740943909,0.04269251972436905,5
0.07866115123033524,0.9690847396850586,0.8157894611358643,0.939393937587738,0.07062530517578125,6
0.13074232637882233,0.9181438684463501,0.7809523940086365,0.6356589198112488,0.09667368978261948,7
0.1525343954563141,0.9518229365348816,0.625,0.9375,0.1195126622915268,8
0.18133936822414398,0.9771468043327332,0.6608695387840271,1.0,0.10014349222183228,9
0.07410264760255814,0.9787334203720093,0.9523809552192688,0.800000011920929,0.050725534558296204,10
