loss,pr_auc,precision,recall,Brier Score,id
0.06227758526802063,0.9859161972999573,0.976190447807312,0.7321428656578064,0.07197748869657516,1
0.2679119408130646,0.9140715599060059,1.0,0.11764705926179886,0.1442735344171524,2
0.053173769265413284,0.9866850972175598,0.8461538553237915,1.0,0.05305028706789017,3
0.06672394275665283,0.984953761100769,0.9032257795333862,0.7777777910232544,0.06677147001028061,4
0.07926374673843384,0.9823529124259949,0.7961165308952332,0.9647058844566345,0.054536785930395126,5
0.14068526029586792,0.9643404483795166,0.75,0.9090909361839294,0.07349623739719391,6
0.08064518123865128,0.9849668145179749,0.8435373902320862,0.961240291595459,0.055246204137802124,7
0.07745148241519928,0.9726561903953552,0.7222222089767456,0.8125,0.07387010753154755,8
0.08941715955734253,0.9828602075576782,0.8641975522041321,0.9210526347160339,0.04476455971598625,9
0.06186148151755333,0.9856000542640686,0.9545454382896423,0.8399999737739563,0.041378527879714966,10
